0	WEAPON LAWS	CARRYING A CONCEALED WEAPON	INGLESIDE	-122.4216445	37.74299701
1	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO	BAYVIEW	-122.390262	37.75911686
2	ROBBERY	"ROBBERY, BODILY FORCE"	SOUTHERN	-122.4137214	37.77543682
3	ARSON	ARSON	SOUTHERN	-122.3963054	37.7932572
4	ASSAULT	BATTERY	SOUTHERN	-122.3922374	37.77852047
5	NON-CRIMINAL	LOST PROPERTY	TENDERLOIN	-122.4147438	37.77871926
6	NON-CRIMINAL	FOUND PROPERTY	PARK	-122.4420533	37.77924222
7	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO	NORTHERN	-122.4281511	37.78578282
8	VANDALISM	"MALICIOUS MISCHIEF, VANDALISM"	BAYVIEW	-122.3895882	37.73795727
9	OTHER OFFENSES	TRAFFIC VIOLATION ARREST	TENDERLOIN	-122.4136794	37.78092583
10	NON-CRIMINAL	"STAY AWAY OR COURT ORDER, NON-DV RELATED"	TENDERLOIN	-122.4136794	37.78092583
11	LARCENY/THEFT	PETTY THEFT FROM A BUILDING	BAYVIEW	-122.3921188	37.7303282
12	TRESPASS	TRESPASSING	BAYVIEW	-122.3921188	37.7303282
13	ASSAULT	BATTERY	MISSION	-122.4361153	37.76082284
14	OTHER OFFENSES	LOST/STOLEN LICENSE PLATE	PARK	-122.4459634	37.76521508
15	DRUG/NARCOTIC	POSSESSION OF MARIJUANA FOR SALES	TENDERLOIN	-122.4122242	37.78207293
16	DRUG/NARCOTIC	POSSESSION OF COCAINE	TENDERLOIN	-122.4122242	37.78207293
17	NON-CRIMINAL	"STAY AWAY OR COURT ORDER, NON-DV RELATED"	TENDERLOIN	-122.4122242	37.78207293
18	NON-CRIMINAL	"AIDED CASE, MENTAL DISTURBED"	TARAVAL	-122.4834254	37.76046192
19	DRUG/NARCOTIC	POSSESSION OF MARIJUANA	INGLESIDE	-122.440593	37.71630467
20	DRUG/NARCOTIC	POSSESSION OF METH-AMPHETAMINE	INGLESIDE	-122.440593	37.71630467
21	WARRANTS	ENROUTE TO OUTSIDE JURISDICTION	INGLESIDE	-122.440593	37.71630467
22	NON-CRIMINAL	LOST PROPERTY	TENDERLOIN	-122.4086486	37.78491247
23	OTHER OFFENSES	MISCELLANEOUS INVESTIGATION	MISSION	-122.4109328	37.76941138
24	ASSAULT	AGGRAVATED ASSAULT WITH BODILY FORCE	MISSION	-122.4219351	37.76613439
25	VEHICLE THEFT	STOLEN AND RECOVERED VEHICLE	TENDERLOIN	-122.4156697	37.78211985
26	VEHICLE THEFT	STOLEN AUTOMOBILE	TENDERLOIN	-122.4156697	37.78211985
27	FRAUD	"CREDIT CARD, THEFT BY USE OF"	MISSION	-122.4099163	37.75114438
28	NON-CRIMINAL	LOST PROPERTY	MISSION	-122.4099163	37.75114438
29	OTHER OFFENSES	"DRIVERS LICENSE, SUSPENDED OR REVOKED"	BAYVIEW	-122.3926403	37.75254384
30	NON-CRIMINAL	"CIVIL SIDEWALKS, CITATION"	PARK	-122.4502421	37.77005402
31	MISSING PERSON	FOUND PERSON	TENDERLOIN	-122.41677	37.77958458
32	FRAUD	FALSE ID TO PEACE OFFICER	SOUTHERN	-122.4116262	37.77858957
33	LARCENY/THEFT	GRAND THEFT BICYCLE	NORTHERN	-122.439982	37.79837264
34	NON-CRIMINAL	"AIDED CASE, MENTAL DISTURBED"	TENDERLOIN	-122.4150887	37.78367196
35	OTHER OFFENSES	"DRIVERS LICENSE, SUSPENDED OR REVOKED"	CENTRAL	-122.4155605	37.790254
36	ASSAULT	THREATS AGAINST LIFE	BAYVIEW	-122.4027849	37.72318031
37	BURGLARY	"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY"	SOUTHERN	-122.4203035	37.77089689
38	BURGLARY	"BURGLARY, UNLAWFUL ENTRY"	SOUTHERN	-122.3916864	37.77976889
